,class,family,name_vi,order,species,url
17,Cây phụ sinh,Phong lan Orchidaceae,Lan hàm lân cứng,Phong lan Orchidales,Gastrochilus calceolaris,./chitiet.php?page=1&loai=2&ID=3412
18,Cây phụ sinh,Phong lan Orchidaceae,Lan hàm lân tù,Phong lan Orchidales,Gastrochilus obliquus,./chitiet.php?page=1&loai=2&ID=2080
19,Cây phụ sinh,Phong lan Orchidaceae,Lan hành averyanov,Phong lan Orchidales,Bulbophyllum averyanovii,./chitiet.php?page=1&loai=2&ID=3226
20,Cây phụ sinh,Phong lan Orchidaceae,Lan hổ bì,Phong lan Orchidales,Staurochilus fasciatus,./chitiet.php?page=1&loai=2&ID=2605
21,Lan đất,Phong lan Orchidaceae,Lan hạc đính nâu,Phong lan Orchidales,Phaius tankervilleae,./chitiet.php?page=1&loai=2&ID=3418
22,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo hương duyên,Phong lan Orchidales,Dendrobium ellipsophyllum,./chitiet.php?page=1&loai=2&ID=2595
23,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo hoa cong,Phong lan Orchidales,Dendrobium intricatum,./chitiet.php?page=1&loai=2&ID=2430
24,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo hoa vàng,Phong lan Orchidales,Dendrobium chrysanthum,./chitiet.php?page=1&loai=2&ID=2429
25,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo vôi,Phong lan Orchidales,Dendrobium cretaceum,./chitiet.php?page=1&loai=2&ID=2189
26,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo vạch đỏ,Phong lan Orchidales,Dendrobium ochraceum,./chitiet.php?page=1&loai=2&ID=3247
27,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng thảo xinh xinh,Phong lan Orchidales,Dendrobium loddigesii,./chitiet.php?page=1&loai=2&ID=2439
28,Cây phụ sinh,Phong lan Orchidaceae,Lan hoàng yến vàng,Phong lan Orchidales,Ascocentrum miniatum,./chitiet.php?page=1&loai=2&ID=2101
29,Cây phụ sinh,Phong lan Orchidaceae,Lan huyết nhung vàng,Phong lan Orchidales,Renanthera citrina,./chitiet.php?page=1&loai=2&ID=2601
30,Cây phụ sinh,Phong lan Orchidaceae,Lan kiếm hồng hoàng,Phong lan Orchidales,Cymbidium iridioides,./chitiet.php?page=1&loai=2&ID=2582
31,Cây phụ sinh,Phong lan Orchidaceae,Lan kiếm lô hội,Phong lan Orchidales,Cymbidium aloifolium,./chitiet.php?page=1&loai=2&ID=2438
32,Cây phụ sinh,Phong lan Orchidaceae,Lan kim vinh,Phong lan Orchidales,Kingidium deliciosum,./chitiet.php?page=1&loai=2&ID=2603
33,Cây phụ sinh,Phong lan Orchidaceae,Lan lá gấm,Phong lan Orchidales,Lidisia discolor,./chitiet.php?page=1&loai=2&ID=3413
34,Cây phụ sinh,Phong lan Orchidaceae,Lan lọng cánh dài,Phong lan Orchidales,Bulbophyllum kanburiense,./chitiet.php?page=1&loai=2&ID=2589
35,Cây phụ sinh,Phong lan Orchidaceae,Lan lọng dẹt,Phong lan Orchidales,Bulbophyllum tripudians,./chitiet.php?page=1&loai=2&ID=2591
36,Cây phụ sinh,Phong lan Orchidaceae,Lan lọng lông,Phong lan Orchidales,Bulbophyllum hirtum,./chitiet.php?page=1&loai=2&ID=2588
37,Cây phụ sinh,Phong lan Orchidaceae,Lan lọng tà,Phong lan Orchidales,Bulbophyllum retuciusculum,./chitiet.php?page=1&loai=2&ID=2590
38,Cây phụ sinh,Phong lan Orchidaceae,Lan len chùm hẹp,Phong lan Orchidales,Eria siamensis,./chitiet.php?page=1&loai=2&ID=2598
39,Cây phụ sinh,Phong lan Orchidaceae,Lan len giả nhung,Phong lan Orchidales,Eriodes barbata,./chitiet.php?page=1&loai=2&ID=2599
40,Cây phụ sinh,Phong lan Orchidaceae,Lan len lào,Phong lan Orchidales,Eria sutepensis,./chitiet.php?page=1&loai=2&ID=2297
41,Cây phụ sinh,Phong lan Orchidaceae,Lan luân cỏ,Phong lan Orchidales,Eulophia graminea,./chitiet.php?page=1&loai=2&ID=3411
42,Cây phụ sinh,Phong lan Orchidaceae,Lan ngọc điểm hải âu,Phong lan Orchidales,Rhynchostylis coelestis,./chitiet.php?page=1&loai=2&ID=3420
43,Cây phụ sinh,Phong lan Orchidaceae,Lan ngọc điểm tai trâu,Phong lan Orchidales,Rhynchostylis gigantea,./chitiet.php?page=1&loai=2&ID=3421
44,Cây phụ sinh,Phong lan Orchidaceae,Lan nhài tím,Phong lan Orchidales,Doritis pulcherrima,./chitiet.php?page=1&loai=2&ID=2570
45,Cây phụ sinh,Phong lan Orchidaceae,Lan nhện thái,Phong lan Orchidales,Archnis labrosa,./chitiet.php?page=2&loai=2&ID=2288
46,Cây phụ sinh,Phong lan Orchidaceae,Lan tóc tiên đà lạt,Phong lan Orchidales,Holcoglossum amesianum,./chitiet.php?page=2&loai=2&ID=2583
47,Cây phụ sinh,Phong lan Orchidaceae,Lan tóc tiên trung,Phong lan Orchidales,Holcoglossum subulifolium,./chitiet.php?page=2&loai=2&ID=2581
48,Cây phụ sinh,Phong lan Orchidaceae,Lan thanh đạm xanh,Phong lan Orchidales,Coelogyne brachyptera,./chitiet.php?page=2&loai=2&ID=2593
49,Cây thuốc,Cỏ Poaceae,Ý dĩ nhân,Cỏ Poales,Coix lachryma - jobi,./chitiet.php?page=2&loai=2&ID=3434
50,Cây gỗ trung bình,Đậu Fabaceae,Ô môi,Đậu Fabales,Cassia grandis,./chitiet.php?page=2&loai=2&ID=2097
51,Cây ngập mặn,Ô rô Acanthaceae,Ô rô nước,Hoa mõm sói Scrophulariales,Acanthus ilicifolius,./chitiet.php?page=2&loai=2&ID=2319
52,Cây phụ sinh,San hô lỗ đỉnh Acroporidae,Ổ rồng,Dương xỉ Polypodiales,Platycerium grande,./chitiet.php?page=2&loai=2&ID=3484
53,Cây thuốc,Cà phê Rubiaceae,Ổ kiến,Long đởm Gentianales,Hydnophytum formicarum,./chitiet.php?page=2&loai=2&ID=3108
54,Cây thuốc,Cà phê Rubiaceae,Ổ kiến gai,Long đởm Gentianales,Myrmecodia tuberosa,./chitiet.php?page=2&loai=2&ID=2248
55,Cây leo thân gỗ,Trúc đào Apocynaceae,Ớt làn mụn cóc,Long đởm Gentianales,Tabernaemontana granulosa,./chitiet.php?page=2&loai=2&ID=3700
56,Cây gỗ trung bình,Dâu tằm Moraceae,Đa bóp cổ,Gai Urticales,Ficus sumatrana,./chitiet.php?page=2&loai=2&ID=3623
57,Cây gỗ trung bình,Dâu tằm Moraceae,Đa gáo,Gai Urticales,Ficus callosa,./chitiet.php?page=2&loai=2&ID=2606
58,Cây thuốc,Ô rô Acanthaceae,Đài mác,Hoa mõm sói Scrophulariales,Chroesthes lanceolata,./chitiet.php?page=2&loai=2&ID=3050
59,Cây gỗ trung bình,Bồ hòn Sapindaceae,Đàn bi,Bồ hòn Sapindales,Sisyrolepis muricata,./chitiet.php?page=2&loai=2&ID=3183
60,Cây gỗ nhỏ,Mai vàng Ochnaceae,Đông dương,Mai vàng Ochnales,Indosinia involucrata,./chitiet.php?page=2&loai=2&ID=3112
61,Cây gỗ trung bình,Cà phê Rubiaceae,Đỏ giam,Long đởm Gentianales,Paradina hirsuta,./chitiet.php?page=2&loai=2&ID=3152
62,Cây gỗ nhỏ,Đỗ quyên Ericaceae,Đỗ quyên fleuryi,Đỗ quyên Ericales,Rhododendron fleuryi,./chitiet.php?page=2&loai=2&ID=2133
63,Cây gỗ trung bình,Đỗ quyên Ericaceae,Đỗ quyên nha trang,Đỗ quyên Ericales,Rhododendron nhatrangensis,./chitiet.php?page=2&loai=2&ID=2560
64,Cây thuốc,Đỗ trọng Eucommiaceae,Đỗ trọng,Đỗ trọng Eucommiales,Eucommia ulmoides,./chitiet.php?page=2&loai=2&ID=2530
65,Cây gỗ nhỏ,Dây gối Celastraceae,Đỗ trọng tía,Dây gối Celastrales,Euonymus chinensis,./chitiet.php?page=2&loai=2&ID=3086
66,Cây thuốc,Gừng Zingiberaceae,Địa liền,Gừng Zingiberales,Kaempferia marginata,./chitiet.php?page=2&loai=2&ID=2258
67,Cây thuốc,Gừng Zingiberaceae,Địa liền đẹp,Gừng Zingiberales,Kaempferia galanga,./chitiet.php?page=2&loai=2&ID=3594
68,Cây thuốc,Gừng Zingiberaceae,Địa liền đẹp,Gừng Zingiberales,Kaempferia angustifolia,./chitiet.php?page=2&loai=2&ID=2284
69,Cây gỗ lớn,Đỉnh tùng Cephalotaxaceae,Đỉnh tùng,Đỉnh tùng Cephalotaxales,Cephalotaxus hainanensis,./chitiet.php?page=2&loai=2&ID=3314
70,Cây gỗ nhỏ,Na Annonaceae,Đội mũ,Na Annonales,Mitrephora calcarea,./chitiet.php?page=2&loai=2&ID=3663
71,Cây thuốc,Hoa môi Laminaceae,Đan sâm,Hoa môi Lamiales,Salvia miltiorrhiza,./chitiet.php?page=2&loai=2&ID=3458
72,Cây leo thân gỗ,Đậu Fabaceae,Đậu điều,Đậu Fabales,Macroptilum lathyroides,./chitiet.php?page=2&loai=2&ID=2351
73,Cây cảnh,Đậu Fabaceae,Đậu gai lá đơn,Đậu Fabales,Desmodium unifoliantum,./chitiet.php?page=2&loai=2&ID=3518
74,Cây leo thân gỗ,Đậu Fabaceae,Đậu ma,Đậu Fabales,Centrosema pubescens,./chitiet.php?page=2&loai=2&ID=3513
75,Cây gỗ lớn,Đậu Fabaceae,Đậu ma gỗ,Đậu Fabales,Lonchocarpus sericeus,./chitiet.php?page=2&loai=2&ID=3626
76,Khác,Tầm gửi Loranthaceae,Đại cán việt,Đàn hương Santalales,Macrosolen annamicus,./chitiet.php?page=2&loai=2&ID=3126
77,Cây thuốc,Cúc Asteraceae,Đại kế,Cúc Asterales,Cirsium japonicum,./chitiet.php?page=2&loai=2&ID=3719
78,Cây gỗ trung bình,Mùng quân Flacourtiaceae,Đại phong tử,Hoa tím Violales,Hydnocarpus althemintica,./chitiet.php?page=2&loai=2&ID=2273
79,Cây gỗ trung bình,Đinh Bignoniaceae,Đạt phước,Hoa mõm sói Scrophulariales,Millingtonnia hortensis,./chitiet.php?page=2&loai=2&ID=3138
80,Cây cảnh,Lộc vừng Lecythidaceae,Đầu lân,Sim Myrtales,Couroupita guianensis,./chitiet.php?page=2&loai=2&ID=3508
81,Cây thuốc,Hoa chuông Campanulaceae,Đảng sâm,Hoa chuông Campanulales,Codonopsis javanica,./chitiet.php?page=2&loai=2&ID=3056
82,Cây phụ sinh,Phong lan Orchidaceae,Đơn hành hai màu,Phong lan Orchidales,Monomeria dichroma,./chitiet.php?page=2&loai=2&ID=3263
83,Cây gỗ trung bình,Đơn nem Myrsinaceae,Đơn mạng,Anh thảo Primulalales,Maesa reticulata,./chitiet.php?page=2&loai=2&ID=3128
84,Cây ngập mặn,Đước Rhizophoraceae,Đước đôi,Sim Myrtales,Rhizophora apiculatta,./chitiet.php?page=2&loai=2&ID=3273
85,Cây ngập mặn,Đước Rhizophoraceae,Đước chằng,Sim Myrtales,Rhizophora stylosa,./chitiet.php?page=2&loai=2&ID=3370
86,Cây ngập mặn,Đước Rhizophoraceae,Đước xanh,Sim Myrtales,Rhizophora mucronata,./chitiet.php?page=2&loai=2&ID=3369
87,Cây thuốc,Hoa môi Laminaceae,Ích mẫu,Hoa môi Lamiales,Leonurus japonicus,./chitiet.php?page=2&loai=2&ID=2127
88,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Đen,Thầu dầu Euphorbiales,Cleidiocarpon cavalieri,./chitiet.php?page=2&loai=2&ID=2513
89,Cây gỗ nhỏ,Thầu dầu Euphorbiaceae,Đen lá rộng,Thầu dầu Euphorbiales,Cleidiocarpon laurinum,./chitiet.php?page=2&loai=2&ID=3054
90,Cây gỗ nhỏ,Điều nhuộm Bixacae,Điều nhuộm,Điều nhuộm Bixales,Bixa orellana,./chitiet.php?page=3&loai=2&ID=2510
91,Cây gỗ lớn,Đinh Bignoniaceae,Đinh,Hoa mõm sói Scrophulariales,Markhamia stipulata,./chitiet.php?page=3&loai=2&ID=3132
92,Cây gỗ nhỏ,Đinh Bignoniaceae,Đinh cánh,Hoa mõm sói Scrophulariales,Pauldopia ghorta,./chitiet.php?page=3&loai=2&ID=3154
93,Cây gỗ lớn,Xoan Meliaceae,Đinh hương,Cam Rutales,Dysoxylum cauliflorum,./chitiet.php?page=3&loai=2&ID=3804
94,Cây gỗ lớn,Đinh Bignoniaceae,Đinh lá tuyến,Hoa mõm sói Scrophulariales,Fernandoa adenophylla,./chitiet.php?page=3&loai=2&ID=2085
95,Cây thuốc,Ngũ gia bì Araliaceae,Đinh lăng lá xẻ,Hoa tán Apiales,Polyscias filicifolia,./chitiet.php?page=3&loai=2&ID=3532
96,Cây gỗ lớn,Đinh Bignoniaceae,Đinh vàng,Hoa mõm sói Scrophulariales,Fernandoa collignonii,./chitiet.php?page=3&loai=2&ID=3090
97,Cây gỗ lớn,Ngọc lan Magnoliaceae,Áo cộc,Ngọc lan Magnoliales,Liriodendron chinense,./chitiet.php?page=3&loai=2&ID=3121
98,Cây thân rỗng,Cau Arecaceae,Đoác,Cau Arecales,Arenga pinnata,./chitiet.php?page=3&loai=2&ID=3522
99,Cây gỗ lớn,Đuôi ngựa Rhoipteleaceae,Đuôi ngựa,Đuôi ngựa Rhoipteleales,Rhoiptelea chiliantha,./chitiet.php?page=3&loai=2&ID=3275
100,Cây gỗ nhỏ,Thầu dầu Euphorbiaceae,Ba đậu phú quốc,Thầu dầu Euphorbiales,Croton phuquocensis,./chitiet.php?page=3&loai=2&ID=3064
101,Cây gỗ lớn,Thầu dầu Euphorbiaceae,Ba đậu tây,Thầu dầu Euphorbiales,Hura crepitans,./chitiet.php?page=3&loai=2&ID=2543
102,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Ba bét lông,Thầu dầu Euphorbiales,Mallotus barbatus,./chitiet.php?page=3&loai=2&ID=2550
103,Cây gỗ nhỏ,Thầu dầu Euphorbiaceae,Ba bét nhiều hoa,Thầu dầu Euphorbiales,Mallotus floribundus,./chitiet.php?page=3&loai=2&ID=2320
104,Cây thuốc,Trúc đào Apocynaceae,Ba gạc châu đốc,Long đởm Gentianales,Rauvolfia chaudocensis,./chitiet.php?page=3&loai=2&ID=3708
105,Cây thuốc,Trúc đào Apocynaceae,Ba gạc hoa đỏ,Long đởm Gentianales,Rauvolfia serpentina,./chitiet.php?page=3&loai=2&ID=3168
106,Cây thuốc,Trúc đào Apocynaceae,Ba gạc lá mỏng,Long đởm Gentianales,Rauvolfia micrantha,./chitiet.php?page=3&loai=2&ID=3167
107,Cây thuốc,Trúc đào Apocynaceae,Ba gạc lá to,Long đởm Gentianales,Rauvolfia cambodiana,./chitiet.php?page=3&loai=2&ID=3166
108,Cây gỗ trung bình,Trúc đào Apocynaceae,Ba gạc lá vòng,Long đởm Gentianales,Rauvolfia verticillata,./chitiet.php?page=3&loai=2&ID=3169
109,Cây gỗ trung bình,Trúc đào Apocynaceae,Ba gạc phú hộ,Long đởm Gentianales,Rauvolfia vomitoria,./chitiet.php?page=3&loai=2&ID=3170
110,Cây thuốc,Trúc đào Apocynaceae,Ba gạc vân nam,Long đởm Gentianales,Rauvolfia yunnanensis,./chitiet.php?page=3&loai=2&ID=2142
111,Cây thuốc,Trúc đào Apocynaceae,Ba gạc việt nam,Long đởm Gentianales,Rauvolfia vietnamensis,./chitiet.php?page=3&loai=2&ID=3703
112,Cây thuốc,Cà phê Rubiaceae,Ba kích,Long đởm Gentianales,Morinda officinalis,./chitiet.php?page=3&loai=2&ID=3139
113,Cây gỗ trung bình,Dây gối Celastraceae,Ba khía,Dây gối Celastrales,Lophopetalum wightianum,./chitiet.php?page=3&loai=2&ID=3736
114,Cây leo thân gỗ,Đậu Fabaceae,Bàm bàm,Đậu Fabales,Entada phaseoloides,./chitiet.php?page=3&loai=2&ID=2040
115,Cây gỗ lớn,Lộc vừng Lecythidaceae,Bàng vuông,Lộc vừng Lecythidales,Barringtonia asiatica,./chitiet.php?page=3&loai=2&ID=3032
116,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Ba soi,Thầu dầu Euphorbiales,Macaranga denticulata,./chitiet.php?page=3&loai=2&ID=2548
117,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Ba vỏ,Thầu dầu Euphorbiales,Thyrsanthera suborbicularis,./chitiet.php?page=3&loai=2&ID=3202
118,Cây thuốc,Hoa mõm chó Scrophulariaceae,Bông lơn,Hoa mõm sói Scrophulariales,Paulownia fargesii,./chitiet.php?page=3&loai=2&ID=3815
119,Cây gỗ trung bình,Bồ hòn Sapindaceae,Bông mộc,Bồ hòn Sapindales,Sinoradlkofera minor,./chitiet.php?page=3&loai=2&ID=3182
120,Cây thuốc,Thanh thất Simaroubaceae,Bá bệnh,Cam Rutales,Eurycoma longifolia,./chitiet.php?page=3&loai=2&ID=2069
121,Cây thuốc,Bách bộ Stemonaceae,Bách bộ,Củ nâu Dioscoreales,Stemona tuberosa,./chitiet.php?page=3&loai=2&ID=3944
122,Cây thuốc,Bách bộ Stemonaceae,Bách bộ đứng,Củ nâu Dioscoreales,Stemona saxorum,./chitiet.php?page=3&loai=2&ID=3294
123,Cây thuốc,Bách bộ Stemonaceae,Bách bộ hoa tím,Củ nâu Dioscoreales,Stemona collinsae,./chitiet.php?page=3&loai=2&ID=3293
124,Cây thuốc,Bách bộ Stemonaceae,Bách bộ nam,Củ nâu Dioscoreales,Stemona cochinchinensis,./chitiet.php?page=3&loai=2&ID=3292
125,Cây gỗ lớn,Hoàng đàn Cupressaceae,Bách vàng,Hoàng đàn Cupressales,Xanthocyparis vietnamensis,./chitiet.php?page=3&loai=2&ID=3923
126,Cây gỗ lớn,Hoàng đàn Cupressaceae,Bách xanh,Hoàng đàn Cupressales,Calocedrus macrolepis,./chitiet.php?page=3&loai=2&ID=3315
127,Cây gỗ trung bình,Đậu Fabaceae,Bánh dầy,Đậu Fabales,Pongamia pinnata,./chitiet.php?page=3&loai=2&ID=3449
128,Cây thuốc,Cà phê Rubiaceae,Báo xuân giả,Long đởm Gentianales,Leptomischus primuloides,./chitiet.php?page=3&loai=2&ID=3117
129,Cây thuốc,Hoàng mộc Berberidaceae,Bát giác liên,Mao lương Ranunculales,Podophyllum tonkinense,./chitiet.php?page=3&loai=2&ID=3161
130,Cây ngập mặn,Sim Myrtaceae,Bát nha,Sim Myrtales,Osbornia octodonta,./chitiet.php?page=3&loai=2&ID=3145
131,Cây gỗ nhỏ,Bọ chó Buddlejaceae,Bọ chó bông to,Hoa mõm sói Scrophulariales,Buddleja macrostachya,./chitiet.php?page=3&loai=2&ID=3037
132,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Bọ nẹt,Thầu dầu Euphorbiales,Alchornia rugosa,./chitiet.php?page=3&loai=2&ID=2493
133,Cây gỗ trung bình,Dâu tằm Moraceae,Bồ đề,Gai Urticales,Ficus rumphii,./chitiet.php?page=3&loai=2&ID=3607
134,Cây gỗ trung bình,Bồ đề Styracaceae,Bồ đề lá bời lời,Thị Ebenales,Styrax litseoides,./chitiet.php?page=3&loai=2&ID=3197
135,Cây gỗ nhỏ,Bồ đề Styracaceae,Bồ đề nhựa,Thị Ebenales,Styrax benzoin,./chitiet.php?page=4&loai=2&ID=3637
136,Cây gỗ nhỏ,Đay Tiliaceae,Bồ an,Bông Malvales,Colona auriculata,./chitiet.php?page=4&loai=2&ID=2446
137,Cây thuốc,Cúc Asteraceae,Bồ công anh,Cúc Asterales,Lactuca indica,./chitiet.php?page=4&loai=2&ID=2126
138,Cây gỗ nhỏ,Bồ hòn Sapindaceae,Bồ hòn,Bồ hòn Sapindales,Sapindus mukorossi,./chitiet.php?page=4&loai=2&ID=3722
139,Cây gỗ trung bình,Mùng quân Flacourtiaceae,Bồ quân,Hoa tím Violales,Flacourtia jangomas,./chitiet.php?page=4&loai=2&ID=3502
140,Cây thuốc,Thiên lý Asclepiadaceae,Bồng bồng,Long đởm Gentianales,Calotropis gigantea,./chitiet.php?page=4&loai=2&ID=2081
141,Cây gỗ nhỏ,Na Annonaceae,Bổ béo đen,Na Annonales,Goniothalamus vietnamensis,./chitiet.php?page=4&loai=2&ID=3677
142,Cây thuốc,Dương xỉ Polypodiaceae,Bổ cốt toái,Dương xỉ Polypodiales,Drynaria fortunei,./chitiet.php?page=4&loai=2&ID=3337
143,Cây gỗ lớn,Bông Malvaceae,Bụp gỗ hoa xoăn,Bông Malvales,Hibiscus mesnyi,./chitiet.php?page=4&loai=2&ID=2465
144,Cây gỗ trung bình,Bông Malvaceae,Bụp lá to,Bông Malvales,Hibiscus macrophyllus,./chitiet.php?page=4&loai=2&ID=2234
145,Cây gỗ trung bình,Long não Lauraceae,Bời lời,Long não Laurales,Litsea cubeba,./chitiet.php?page=4&loai=2&ID=3680
146,Cây gỗ lớn,Mỏ rộng Eurylaimidae,Bời lời miên,Long não Laurales,Litsea cambodiana,./chitiet.php?page=4&loai=2&ID=2156
147,Cây gỗ trung bình,Long não Lauraceae,Bời lời vàng,Long não Laurales,Litsea vang,./chitiet.php?page=4&loai=2&ID=3580
148,Cây gỗ nhỏ,Thầu dầu Euphorbiaceae,Bọt ếch biển,Thầu dầu Euphorbiales,Glochidion littorale,./chitiet.php?page=4&loai=2&ID=2538
149,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Bọt ếch lá dài,Thầu dầu Euphorbiales,Glochidion daltonii,./chitiet.php?page=4&loai=2&ID=2536
150,Cây gỗ trung bình,Thầu dầu Euphorbiaceae,Bọt ếch lưỡi mác,Thầu dầu Euphorbiales,Glochidion lanceolarium,./chitiet.php?page=4&loai=2&ID=2537
151,Cây gỗ nhỏ,Long não Lauraceae,Bộp quả bầu dục,Long não Laurales,Actinodaphne ellipticibacca,./chitiet.php?page=4&loai=2&ID=3002
152,Cây thuốc,Na Annonaceae,Bình bát,Na Annonales,Annona glabra,./chitiet.php?page=4&loai=2&ID=2032
153,Cây gỗ trung bình,Cỏ roi ngựa Verbenaceae,Bình linh ba lá,Hoa môi Lamiales,Vitex trifolia,./chitiet.php?page=4&loai=2&ID=2241
154,Cây gỗ trung bình,Cỏ roi ngựa Verbenaceae,Bình linh nghệ,Hoa môi Lamiales,Vitex ajugaeflora,./chitiet.php?page=4&loai=2&ID=3214
155,Cây thuốc,Tiết dê Menispermaceae,Bình vôi,Mao lương Ranunculales,Stephania rotunda,./chitiet.php?page=4&loai=2&ID=2148
156,Cây thuốc,Tiết dê Menispermaceae,Bình vôi cambod,Mao lương Ranunculales,Stephania cambodica,./chitiet.php?page=4&loai=2&ID=3186
157,Cây thuốc,Tiết dê Menispermaceae,Bình vôi hoa đầu,Mao lương Ranunculales,Stephania cepharantha,./chitiet.php?page=4&loai=2&ID=3187
158,Cây thuốc,Tiết dê Menispermaceae,Bình vôi nhị ngắn,Mao lương Ranunculales,Stephania brachyandra,./chitiet.php?page=4&loai=2&ID=3185
159,Cây thuốc,Tiết dê Menispermaceae,Bình vôi quảng tây,Mao lương Ranunculales,Stephania kwangsiensis,./chitiet.php?page=4&loai=2&ID=3189
160,Cây thuốc,Bóng nước Balsaminaceae,Bóng nước khoẻ,Bóng nước Balsaminales,Impatiens claviger,./chitiet.php?page=4&loai=2&ID=3499
161,Cây thuốc,Bóng nước Balsaminaceae,Bóng nước trung quốc,Bóng nước Balsaminales,Impatiens chinensis,./chitiet.php?page=4&loai=2&ID=3489
162,Cây thuốc,Bứa Clusiaceae,Ban nhật,Chè Theales,Hypericum japonicum,./chitiet.php?page=4&loai=2&ID=2206
163,Cây thuốc,Ban Hypericaceae,Ban tròn,Chè Theales,Hypericum patulum,./chitiet.php?page=4&loai=2&ID=3475
164,Cây cảnh,Bắt ruồi Droseraceae,Bắt ruồi ấn độ,Bắt ruồi Droserales,Drosera indica,./chitiet.php?page=4&loai=2&ID=2314
165,Cây cảnh,Bắt ruồi Droseraceae,Bắt ruồi bán nguyệt,Bắt ruồi Droserales,Drosera peltata,./chitiet.php?page=4&loai=2&ID=3946
166,Cây thuốc,Bắt ruồi Droseraceae,Bắt ruổi muỗng,Bắt ruồi Droserales,Drosera burmannii,./chitiet.php?page=4&loai=2&ID=3633
167,Cây thuốc,Râu hùm Taccaceae,Bạch tinh,Râu hùm Taccales,Tacca leontopetaloides,./chitiet.php?page=4&loai=2&ID=3297
168,Cây ngập mặn,Bần Sonneratiaceae,Bần chua,Sim Myrtales,Sonneratia caseolaris,./chitiet.php?page=4&loai=2&ID=2274
169,Cây gỗ lớn,Tử vi Lythraceae,Bằng lăng,Sim Myrtales,Lagerstroemia calyculata,./chitiet.php?page=4&loai=2&ID=2220
170,Cây gỗ trung bình,Tử vi Lythraceae,Bằng lăng nước,Sim Myrtales,Lagerstroemia speciosa,./chitiet.php?page=4&loai=2&ID=3749
171,Cây gỗ nhỏ,Tử vi Lythraceae,Bằng phi,Sim Myrtales,Pemphis acidula,./chitiet.php?page=4&loai=2&ID=2456
172,Cây thuốc,Vương tôn Trilliaceae,Bảy lá hải nam,Hành Liliales,Paris hainanensis,./chitiet.php?page=4&loai=2&ID=3453
